DATE,STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,TMAX,TMIN
2022-06-22,USC00063210,"GUILFORD, CT US",41.28592,-72.67143,6.1,,
2022-06-23,USC00063210,"GUILFORD, CT US",41.28592,-72.67143,6.1,,
2022-06-24,USC00063210,"GUILFORD, CT US",41.28592,-72.67143,6.1,,
2022-06-25,USC00063210,"GUILFORD, CT US",41.28592,-72.67143,6.1,,
2022-06-26,USC00063210,"GUILFORD, CT US",41.28592,-72.67143,6.1,,
2022-06-27,USC00063210,"GUILFORD, CT US",41.28592,-72.67143,6.1,,
2022-06-28,USC00063210,"GUILFORD, CT US",41.28592,-72.67143,6.1,,
2022-06-29,USC00063210,"GUILFORD, CT US",41.28592,-72.67143,6.1,,
2022-06-30,USC00063210,"GUILFORD, CT US",41.28592,-72.67143,6.1,,
2022-07-01,USC00063210,"GUILFORD, CT US",41.28592,-72.67143,6.1,,
2022-07-02,USC00063210,"GUILFORD, CT US",41.28592,-72.67143,6.1,,
2022-07-03,USC00063210,"GUILFORD, CT US",41.28592,-72.67143,6.1,,
2022-07-04,USC00063210,"GUILFORD, CT US",41.28592,-72.67143,6.1,,
2022-07-05,USC00063210,"GUILFORD, CT US",41.28592,-72.67143,6.1,,
2022-07-06,USC00063210,"GUILFORD, CT US",41.28592,-72.67143,6.1,,
2022-07-07,USC00063210,"GUILFORD, CT US",41.28592,-72.67143,6.1,,
2022-07-08,USC00063210,"GUILFORD, CT US",41.28592,-72.67143,6.1,,
2022-07-09,USC00063210,"GUILFORD, CT US",41.28592,-72.67143,6.1,,
2022-07-10,USC00063210,"GUILFORD, CT US",41.28592,-72.67143,6.1,,
2022-07-11,USC00063210,"GUILFORD, CT US",41.28592,-72.67143,6.1,,
2022-07-12,USC00063210,"GUILFORD, CT US",41.28592,-72.67143,6.1,,
2022-07-13,USC00063210,"GUILFORD, CT US",41.28592,-72.67143,6.1,,
2022-07-14,USC00063210,"GUILFORD, CT US",41.28592,-72.67143,6.1,,
2022-07-15,USC00063210,"GUILFORD, CT US",41.28592,-72.67143,6.1,,
2022-07-16,USC00063210,"GUILFORD, CT US",41.28592,-72.67143,6.1,,
2022-07-17,USC00063210,"GUILFORD, CT US",41.28592,-72.67143,6.1,,
2022-07-18,USC00063210,"GUILFORD, CT US",41.28592,-72.67143,6.1,,
2022-07-19,USC00063210,"GUILFORD, CT US",41.28592,-72.67143,6.1,,
2022-07-20,USC00063210,"GUILFORD, CT US",41.28592,-72.67143,6.1,,
2022-07-21,USC00063210,"GUILFORD, CT US",41.28592,-72.67143,6.1,,
2022-07-22,USC00063210,"GUILFORD, CT US",41.28592,-72.67143,6.1,,
2022-07-23,USC00063210,"GUILFORD, CT US",41.28592,-72.67143,6.1,,
2022-07-24,USC00063210,"GUILFORD, CT US",41.28592,-72.67143,6.1,,
2022-07-25,USC00063210,"GUILFORD, CT US",41.28592,-72.67143,6.1,,
2022-07-26,USC00063210,"GUILFORD, CT US",41.28592,-72.67143,6.1,,
2022-07-27,USC00063210,"GUILFORD, CT US",41.28592,-72.67143,6.1,,
2022-07-28,USC00063210,"GUILFORD, CT US",41.28592,-72.67143,6.1,,
2022-07-29,USC00063210,"GUILFORD, CT US",41.28592,-72.67143,6.1,,
2022-07-30,USC00063210,"GUILFORD, CT US",41.28592,-72.67143,6.1,,
2022-07-31,USC00063210,"GUILFORD, CT US",41.28592,-72.67143,6.1,,
2022-08-01,USC00063210,"GUILFORD, CT US",41.28592,-72.67143,6.1,,
2022-08-02,USC00063210,"GUILFORD, CT US",41.28592,-72.67143,6.1,,
2022-08-03,USC00063210,"GUILFORD, CT US",41.28592,-72.67143,6.1,,
2022-08-04,USC00063210,"GUILFORD, CT US",41.28592,-72.67143,6.1,,
2022-08-05,USC00063210,"GUILFORD, CT US",41.28592,-72.67143,6.1,,
2022-08-06,USC00063210,"GUILFORD, CT US",41.28592,-72.67143,6.1,,
2022-08-07,USC00063210,"GUILFORD, CT US",41.28592,-72.67143,6.1,,
2022-08-08,USC00063210,"GUILFORD, CT US",41.28592,-72.67143,6.1,,
2022-08-09,USC00063210,"GUILFORD, CT US",41.28592,-72.67143,6.1,,
2022-08-10,USC00063210,"GUILFORD, CT US",41.28592,-72.67143,6.1,,
2022-08-11,USC00063210,"GUILFORD, CT US",41.28592,-72.67143,6.1,,
2022-08-12,USC00063210,"GUILFORD, CT US",41.28592,-72.67143,6.1,,
2022-08-13,USC00063210,"GUILFORD, CT US",41.28592,-72.67143,6.1,,
2022-08-14,USC00063210,"GUILFORD, CT US",41.28592,-72.67143,6.1,,
2022-08-15,USC00063210,"GUILFORD, CT US",41.28592,-72.67143,6.1,,
2022-08-16,USC00063210,"GUILFORD, CT US",41.28592,-72.67143,6.1,,
2022-08-17,USC00063210,"GUILFORD, CT US",41.28592,-72.67143,6.1,,
2022-08-18,USC00063210,"GUILFORD, CT US",41.28592,-72.67143,6.1,,
2022-08-19,USC00063210,"GUILFORD, CT US",41.28592,-72.67143,6.1,,
2022-08-20,USC00063210,"GUILFORD, CT US",41.28592,-72.67143,6.1,,
2022-08-21,USC00063210,"GUILFORD, CT US",41.28592,-72.67143,6.1,,
2022-08-22,USC00063210,"GUILFORD, CT US",41.28592,-72.67143,6.1,,
2022-08-23,USC00063210,"GUILFORD, CT US",41.28592,-72.67143,6.1,,
2022-08-24,USC00063210,"GUILFORD, CT US",41.28592,-72.67143,6.1,,
2022-08-25,USC00063210,"GUILFORD, CT US",41.28592,-72.67143,6.1,,
2022-08-26,USC00063210,"GUILFORD, CT US",41.28592,-72.67143,6.1,,
2022-08-27,USC00063210,"GUILFORD, CT US",41.28592,-72.67143,6.1,,
2022-08-28,USC00063210,"GUILFORD, CT US",41.28592,-72.67143,6.1,,
2022-08-29,USC00063210,"GUILFORD, CT US",41.28592,-72.67143,6.1,,
2022-08-30,USC00063210,"GUILFORD, CT US",41.28592,-72.67143,6.1,,
2022-08-31,USC00063210,"GUILFORD, CT US",41.28592,-72.67143,6.1,,
2022-09-01,USC00063210,"GUILFORD, CT US",41.28592,-72.67143,6.1,,
2022-09-02,USC00063210,"GUILFORD, CT US",41.28592,-72.67143,6.1,,
2022-09-03,USC00063210,"GUILFORD, CT US",41.28592,-72.67143,6.1,,
2022-09-04,USC00063210,"GUILFORD, CT US",41.28592,-72.67143,6.1,,
2022-09-05,USC00063210,"GUILFORD, CT US",41.28592,-72.67143,6.1,,
2022-09-06,USC00063210,"GUILFORD, CT US",41.28592,-72.67143,6.1,,
2022-09-07,USC00063210,"GUILFORD, CT US",41.28592,-72.67143,6.1,,
2022-09-08,USC00063210,"GUILFORD, CT US",41.28592,-72.67143,6.1,,
2022-09-09,USC00063210,"GUILFORD, CT US",41.28592,-72.67143,6.1,,
2022-09-10,USC00063210,"GUILFORD, CT US",41.28592,-72.67143,6.1,,
2022-09-11,USC00063210,"GUILFORD, CT US",41.28592,-72.67143,6.1,,
2022-09-12,USC00063210,"GUILFORD, CT US",41.28592,-72.67143,6.1,,
2022-09-13,USC00063210,"GUILFORD, CT US",41.28592,-72.67143,6.1,,
2022-09-14,USC00063210,"GUILFORD, CT US",41.28592,-72.67143,6.1,,13.9
2022-09-15,USC00063210,"GUILFORD, CT US",41.28592,-72.67143,6.1,,
2022-09-16,USC00063210,"GUILFORD, CT US",41.28592,-72.67143,6.1,,
2022-09-17,USC00063210,"GUILFORD, CT US",41.28592,-72.67143,6.1,22.8,9.4
2022-09-18,USC00063210,"GUILFORD, CT US",41.28592,-72.67143,6.1,21.7,11.7
2022-09-19,USC00063210,"GUILFORD, CT US",41.28592,-72.67143,6.1,27.2,11.7
2022-09-20,USC00063210,"GUILFORD, CT US",41.28592,-72.67143,6.1,28.9,16.1
2022-09-21,USC00063210,"GUILFORD, CT US",41.28592,-72.67143,6.1,25.6,12.8
2022-09-22,USC00063210,"GUILFORD, CT US",41.28592,-72.67143,6.1,23.9,12.8
2022-09-23,USC00063210,"GUILFORD, CT US",41.28592,-72.67143,6.1,22.2,8.9
2022-09-24,USC00063210,"GUILFORD, CT US",41.28592,-72.67143,6.1,17.2,5.0
2022-09-25,USC00063210,"GUILFORD, CT US",41.28592,-72.67143,6.1,19.4,6.7
2022-09-26,USC00063210,"GUILFORD, CT US",41.28592,-72.67143,6.1,23.3,8.9
2022-09-27,USC00063210,"GUILFORD, CT US",41.28592,-72.67143,6.1,,
2022-09-28,USC00063210,"GUILFORD, CT US",41.28592,-72.67143,6.1,,
2022-09-29,USC00063210,"GUILFORD, CT US",41.28592,-72.67143,6.1,,
2022-09-30,USC00063210,"GUILFORD, CT US",41.28592,-72.67143,6.1,,
2022-10-01,USC00063210,"GUILFORD, CT US",41.28592,-72.67143,6.1,,
2022-10-02,USC00063210,"GUILFORD, CT US",41.28592,-72.67143,6.1,,
2022-10-03,USC00063210,"GUILFORD, CT US",41.28592,-72.67143,6.1,,
2022-10-04,USC00063210,"GUILFORD, CT US",41.28592,-72.67143,6.1,,
2022-10-05,USC00063210,"GUILFORD, CT US",41.28592,-72.67143,6.1,,
2022-10-06,USC00063210,"GUILFORD, CT US",41.28592,-72.67143,6.1,,
2022-10-07,USC00063210,"GUILFORD, CT US",41.28592,-72.67143,6.1,,
2022-10-08,USC00063210,"GUILFORD, CT US",41.28592,-72.67143,6.1,,
2022-10-09,USC00063210,"GUILFORD, CT US",41.28592,-72.67143,6.1,,
2022-10-10,USC00063210,"GUILFORD, CT US",41.28592,-72.67143,6.1,,
2022-10-11,USC00063210,"GUILFORD, CT US",41.28592,-72.67143,6.1,,
2022-10-12,USC00063210,"GUILFORD, CT US",41.28592,-72.67143,6.1,,
2022-10-13,USC00063210,"GUILFORD, CT US",41.28592,-72.67143,6.1,,
2022-10-14,USC00063210,"GUILFORD, CT US",41.28592,-72.67143,6.1,,
2022-10-15,USC00063210,"GUILFORD, CT US",41.28592,-72.67143,6.1,,
2022-10-16,USC00063210,"GUILFORD, CT US",41.28592,-72.67143,6.1,,
2022-10-17,USC00063210,"GUILFORD, CT US",41.28592,-72.67143,6.1,,
2022-10-18,USC00063210,"GUILFORD, CT US",41.28592,-72.67143,6.1,,
2022-10-19,USC00063210,"GUILFORD, CT US",41.28592,-72.67143,6.1,,
2022-10-20,USC00063210,"GUILFORD, CT US",41.28592,-72.67143,6.1,,
2022-10-21,USC00063210,"GUILFORD, CT US",41.28592,-72.67143,6.1,,
2022-10-22,USC00063210,"GUILFORD, CT US",41.28592,-72.67143,6.1,,
2022-10-23,USC00063210,"GUILFORD, CT US",41.28592,-72.67143,6.1,,
2022-10-24,USC00063210,"GUILFORD, CT US",41.28592,-72.67143,6.1,,
2022-10-25,USC00063210,"GUILFORD, CT US",41.28592,-72.67143,6.1,,
2022-10-26,USC00063210,"GUILFORD, CT US",41.28592,-72.67143,6.1,,
2022-10-27,USC00063210,"GUILFORD, CT US",41.28592,-72.67143,6.1,,
2022-10-28,USC00063210,"GUILFORD, CT US",41.28592,-72.67143,6.1,,
2022-10-29,USC00063210,"GUILFORD, CT US",41.28592,-72.67143,6.1,,
2022-10-30,USC00063210,"GUILFORD, CT US",41.28592,-72.67143,6.1,,
2022-10-31,USC00063210,"GUILFORD, CT US",41.28592,-72.67143,6.1,,
2022-11-01,USC00063210,"GUILFORD, CT US",41.28592,-72.67143,6.1,,
2022-11-02,USC00063210,"GUILFORD, CT US",41.28592,-72.67143,6.1,,
2022-11-03,USC00063210,"GUILFORD, CT US",41.28592,-72.67143,6.1,,
2022-11-04,USC00063210,"GUILFORD, CT US",41.28592,-72.67143,6.1,,
2022-11-05,USC00063210,"GUILFORD, CT US",41.28592,-72.67143,6.1,,
2022-11-06,USC00063210,"GUILFORD, CT US",41.28592,-72.67143,6.1,,
2022-11-07,USC00063210,"GUILFORD, CT US",41.28592,-72.67143,6.1,,
2022-11-08,USC00063210,"GUILFORD, CT US",41.28592,-72.67143,6.1,,
2022-11-09,USC00063210,"GUILFORD, CT US",41.28592,-72.67143,6.1,,
2022-11-10,USC00063210,"GUILFORD, CT US",41.28592,-72.67143,6.1,,
2022-11-11,USC00063210,"GUILFORD, CT US",41.28592,-72.67143,6.1,,
2022-11-12,USC00063210,"GUILFORD, CT US",41.28592,-72.67143,6.1,,
2022-11-13,USC00063210,"GUILFORD, CT US",41.28592,-72.67143,6.1,,
2022-11-14,USC00063210,"GUILFORD, CT US",41.28592,-72.67143,6.1,,
2022-11-15,USC00063210,"GUILFORD, CT US",41.28592,-72.67143,6.1,,-4.4
2022-11-16,USC00063210,"GUILFORD, CT US",41.28592,-72.67143,6.1,,
2022-11-17,USC00063210,"GUILFORD, CT US",41.28592,-72.67143,6.1,,
2022-11-18,USC00063210,"GUILFORD, CT US",41.28592,-72.67143,6.1,,
2022-11-19,USC00063210,"GUILFORD, CT US",41.28592,-72.67143,6.1,,
2022-11-20,USC00063210,"GUILFORD, CT US",41.28592,-72.67143,6.1,,
2022-11-21,USC00063210,"GUILFORD, CT US",41.28592,-72.67143,6.1,,-7.8
2022-11-22,USC00063210,"GUILFORD, CT US",41.28592,-72.67143,6.1,,
2022-11-23,USC00063210,"GUILFORD, CT US",41.28592,-72.67143,6.1,,-3.9
2022-11-24,USC00063210,"GUILFORD, CT US",41.28592,-72.67143,6.1,,-3.9
2022-11-25,USC00063210,"GUILFORD, CT US",41.28592,-72.67143,6.1,,-3.9
2022-11-26,USC00063210,"GUILFORD, CT US",41.28592,-72.67143,6.1,,2.2
2022-11-27,USC00063210,"GUILFORD, CT US",41.28592,-72.67143,6.1,,1.7
2022-11-28,USC00063210,"GUILFORD, CT US",41.28592,-72.67143,6.1,,1.1
2022-11-29,USC00063210,"GUILFORD, CT US",41.28592,-72.67143,6.1,,-2.8
2022-11-30,USC00063210,"GUILFORD, CT US",41.28592,-72.67143,6.1,,-2.2
2022-12-01,USC00063210,"GUILFORD, CT US",41.28592,-72.67143,6.1,,1.7
2022-12-02,USC00063210,"GUILFORD, CT US",41.28592,-72.67143,6.1,,-5.0
2022-12-03,USC00063210,"GUILFORD, CT US",41.28592,-72.67143,6.1,,-5.0
2022-12-04,USC00063210,"GUILFORD, CT US",41.28592,-72.67143,6.1,,-1.1
2022-12-05,USC00063210,"GUILFORD, CT US",41.28592,-72.67143,6.1,,-5.6
2022-12-06,USC00063210,"GUILFORD, CT US",41.28592,-72.67143,6.1,,-5.6
2022-12-07,USC00063210,"GUILFORD, CT US",41.28592,-72.67143,6.1,,1.1
2022-12-08,USC00063210,"GUILFORD, CT US",41.28592,-72.67143,6.1,,6.1
2022-12-09,USC00063210,"GUILFORD, CT US",41.28592,-72.67143,6.1,,0.6
2022-12-10,USC00063210,"GUILFORD, CT US",41.28592,-72.67143,6.1,,-1.7
2022-12-11,USC00063210,"GUILFORD, CT US",41.28592,-72.67143,6.1,,-2.2
2022-12-12,USC00063210,"GUILFORD, CT US",41.28592,-72.67143,6.1,,-3.3
2022-12-13,USC00063210,"GUILFORD, CT US",41.28592,-72.67143,6.1,,-5.0
2022-12-14,USC00063210,"GUILFORD, CT US",41.28592,-72.67143,6.1,,-5.0
2022-12-15,USC00063210,"GUILFORD, CT US",41.28592,-72.67143,6.1,,-2.8
2022-12-16,USC00063210,"GUILFORD, CT US",41.28592,-72.67143,6.1,,-2.8
2022-12-17,USC00063210,"GUILFORD, CT US",41.28592,-72.67143,6.1,,2.2
2022-12-18,USC00063210,"GUILFORD, CT US",41.28592,-72.67143,6.1,,-2.2
2022-12-19,USC00063210,"GUILFORD, CT US",41.28592,-72.67143,6.1,,-5.6
2022-12-20,USC00063210,"GUILFORD, CT US",41.28592,-72.67143,6.1,,-5.6
2022-12-21,USC00063210,"GUILFORD, CT US",41.28592,-72.67143,6.1,,-5.0
2022-12-22,USC00063210,"GUILFORD, CT US",41.28592,-72.67143,6.1,,-5.0
2022-12-23,USC00063210,"GUILFORD, CT US",41.28592,-72.67143,6.1,,-5.0
2022-12-24,USC00063210,"GUILFORD, CT US",41.28592,-72.67143,6.1,,
2022-12-25,USC00063210,"GUILFORD, CT US",41.28592,-72.67143,6.1,,-13.9
2022-12-26,USC00063210,"GUILFORD, CT US",41.28592,-72.67143,6.1,,-9.4
2022-12-27,USC00063210,"GUILFORD, CT US",41.28592,-72.67143,6.1,,-8.9
2022-12-28,USC00063210,"GUILFORD, CT US",41.28592,-72.67143,6.1,3.3,-2.2
2022-12-29,USC00063210,"GUILFORD, CT US",41.28592,-72.67143,6.1,,-3.3
2022-12-30,USC00063210,"GUILFORD, CT US",41.28592,-72.67143,6.1,,-3.3
2022-12-31,USC00063210,"GUILFORD, CT US",41.28592,-72.67143,6.1,,-0.6
2023-01-01,USC00063210,"GUILFORD, CT US",41.28592,-72.67143,6.1,,3.9
2023-01-02,USC00063210,"GUILFORD, CT US",41.28592,-72.67143,6.1,,-1.7
2023-01-03,USC00063210,"GUILFORD, CT US",41.28592,-72.67143,6.1,,-1.7
2023-01-04,USC00063210,"GUILFORD, CT US",41.28592,-72.67143,6.1,,5.6
2023-01-05,USC00063210,"GUILFORD, CT US",41.28592,-72.67143,6.1,,5.6
2023-01-06,USC00063210,"GUILFORD, CT US",41.28592,-72.67143,6.1,,3.9
2023-01-07,USC00063210,"GUILFORD, CT US",41.28592,-72.67143,6.1,,1.7
2023-01-08,USC00063210,"GUILFORD, CT US",41.28592,-72.67143,6.1,,-2.8
2023-01-09,USC00063210,"GUILFORD, CT US",41.28592,-72.67143,6.1,,-3.3
2023-01-10,USC00063210,"GUILFORD, CT US",41.28592,-72.67143,6.1,,
2023-01-11,USC00063210,"GUILFORD, CT US",41.28592,-72.67143,6.1,,-1.1
2023-01-12,USC00063210,"GUILFORD, CT US",41.28592,-72.67143,6.1,,-1.1
2023-01-13,USC00063210,"GUILFORD, CT US",41.28592,-72.67143,6.1,,
2023-01-14,USC00063210,"GUILFORD, CT US",41.28592,-72.67143,6.1,,
2023-01-15,USC00063210,"GUILFORD, CT US",41.28592,-72.67143,6.1,,
2023-01-16,USC00063210,"GUILFORD, CT US",41.28592,-72.67143,6.1,,
2023-01-17,USC00063210,"GUILFORD, CT US",41.28592,-72.67143,6.1,,
2023-01-18,USC00063210,"GUILFORD, CT US",41.28592,-72.67143,6.1,,
2023-01-19,USC00063210,"GUILFORD, CT US",41.28592,-72.67143,6.1,,
2023-01-20,USC00063210,"GUILFORD, CT US",41.28592,-72.67143,6.1,,
2023-01-21,USC00063210,"GUILFORD, CT US",41.28592,-72.67143,6.1,,
2023-01-22,USC00063210,"GUILFORD, CT US",41.28592,-72.67143,6.1,,
2023-01-23,USC00063210,"GUILFORD, CT US",41.28592,-72.67143,6.1,,
2023-01-24,USC00063210,"GUILFORD, CT US",41.28592,-72.67143,6.1,,
2023-01-25,USC00063210,"GUILFORD, CT US",41.28592,-72.67143,6.1,,
2023-01-26,USC00063210,"GUILFORD, CT US",41.28592,-72.67143,6.1,,
2023-01-27,USC00063210,"GUILFORD, CT US",41.28592,-72.67143,6.1,,
2023-01-28,USC00063210,"GUILFORD, CT US",41.28592,-72.67143,6.1,,
2023-01-29,USC00063210,"GUILFORD, CT US",41.28592,-72.67143,6.1,,
2023-01-30,USC00063210,"GUILFORD, CT US",41.28592,-72.67143,6.1,,
2023-01-31,USC00063210,"GUILFORD, CT US",41.28592,-72.67143,6.1,,
2023-02-01,USC00063210,"GUILFORD, CT US",41.28592,-72.67143,6.1,,
2023-02-02,USC00063210,"GUILFORD, CT US",41.28592,-72.67143,6.1,,
2023-02-03,USC00063210,"GUILFORD, CT US",41.28592,-72.67143,6.1,,
2023-02-04,USC00063210,"GUILFORD, CT US",41.28592,-72.67143,6.1,,-20.6
2023-02-05,USC00063210,"GUILFORD, CT US",41.28592,-72.67143,6.1,,
2023-02-06,USC00063210,"GUILFORD, CT US",41.28592,-72.67143,6.1,,-3.3
2023-02-07,USC00063210,"GUILFORD, CT US",41.28592,-72.67143,6.1,,
2023-02-08,USC00063210,"GUILFORD, CT US",41.28592,-72.67143,6.1,,
2023-02-09,USC00063210,"GUILFORD, CT US",41.28592,-72.67143,6.1,,-4.4
2023-02-10,USC00063210,"GUILFORD, CT US",41.28592,-72.67143,6.1,,
2023-02-11,USC00063210,"GUILFORD, CT US",41.28592,-72.67143,6.1,,
2023-02-12,USC00063210,"GUILFORD, CT US",41.28592,-72.67143,6.1,,-5.0
2023-02-13,USC00063210,"GUILFORD, CT US",41.28592,-72.67143,6.1,,
2023-02-14,USC00063210,"GUILFORD, CT US",41.28592,-72.67143,6.1,,
2023-02-15,USC00063210,"GUILFORD, CT US",41.28592,-72.67143,6.1,,-1.7
2023-02-16,USC00063210,"GUILFORD, CT US",41.28592,-72.67143,6.1,,
2023-02-17,USC00063210,"GUILFORD, CT US",41.28592,-72.67143,6.1,21.7,
2023-02-18,USC00063210,"GUILFORD, CT US",41.28592,-72.67143,6.1,,
2023-02-19,USC00063210,"GUILFORD, CT US",41.28592,-72.67143,6.1,,
2023-02-20,USC00063210,"GUILFORD, CT US",41.28592,-72.67143,6.1,,
2023-02-21,USC00063210,"GUILFORD, CT US",41.28592,-72.67143,6.1,,
2023-02-22,USC00063210,"GUILFORD, CT US",41.28592,-72.67143,6.1,,
2023-02-23,USC00063210,"GUILFORD, CT US",41.28592,-72.67143,6.1,,
2023-02-24,USC00063210,"GUILFORD, CT US",41.28592,-72.67143,6.1,,
2023-02-25,USC00063210,"GUILFORD, CT US",41.28592,-72.67143,6.1,,
2023-02-26,USC00063210,"GUILFORD, CT US",41.28592,-72.67143,6.1,,
2023-02-27,USC00063210,"GUILFORD, CT US",41.28592,-72.67143,6.1,,
2023-02-28,USC00063210,"GUILFORD, CT US",41.28592,-72.67143,6.1,,
2023-03-01,USC00063210,"GUILFORD, CT US",41.28592,-72.67143,6.1,,
2023-03-02,USC00063210,"GUILFORD, CT US",41.28592,-72.67143,6.1,,
2023-03-03,USC00063210,"GUILFORD, CT US",41.28592,-72.67143,6.1,,
2023-03-04,USC00063210,"GUILFORD, CT US",41.28592,-72.67143,6.1,,
2023-03-05,USC00063210,"GUILFORD, CT US",41.28592,-72.67143,6.1,,
2023-03-06,USC00063210,"GUILFORD, CT US",41.28592,-72.67143,6.1,,
2023-03-07,USC00063210,"GUILFORD, CT US",41.28592,-72.67143,6.1,,
2023-03-08,USC00063210,"GUILFORD, CT US",41.28592,-72.67143,6.1,,
2023-03-09,USC00063210,"GUILFORD, CT US",41.28592,-72.67143,6.1,,
2023-03-10,USC00063210,"GUILFORD, CT US",41.28592,-72.67143,6.1,,
2023-03-11,USC00063210,"GUILFORD, CT US",41.28592,-72.67143,6.1,,
2023-03-12,USC00063210,"GUILFORD, CT US",41.28592,-72.67143,6.1,,
2023-03-13,USC00063210,"GUILFORD, CT US",41.28592,-72.67143,6.1,8.3,-1.7
2023-03-14,USC00063210,"GUILFORD, CT US",41.28592,-72.67143,6.1,6.7,2.2
2023-03-15,USC00063210,"GUILFORD, CT US",41.28592,-72.67143,6.1,2.8,0.6
2023-03-16,USC00063210,"GUILFORD, CT US",41.28592,-72.67143,6.1,8.3,-2.8
2023-03-17,USC00063210,"GUILFORD, CT US",41.28592,-72.67143,6.1,12.2,-1.7
2023-03-18,USC00063210,"GUILFORD, CT US",41.28592,-72.67143,6.1,12.2,1.1
2023-03-19,USC00063210,"GUILFORD, CT US",41.28592,-72.67143,6.1,11.7,-1.1
2023-03-20,USC00063210,"GUILFORD, CT US",41.28592,-72.67143,6.1,5.6,-4.4
2023-03-21,USC00063210,"GUILFORD, CT US",41.28592,-72.67143,6.1,9.4,-4.4
2023-03-22,USC00063210,"GUILFORD, CT US",41.28592,-72.67143,6.1,15.6,-3.9
2023-03-23,USC00063210,"GUILFORD, CT US",41.28592,-72.67143,6.1,13.9,-0.6
2023-03-24,USC00063210,"GUILFORD, CT US",41.28592,-72.67143,6.1,11.7,5.0
2023-03-25,USC00063210,"GUILFORD, CT US",41.28592,-72.67143,6.1,13.3,3.3
2023-03-26,USC00063210,"GUILFORD, CT US",41.28592,-72.67143,6.1,6.1,3.9
2023-03-27,USC00063210,"GUILFORD, CT US",41.28592,-72.67143,6.1,17.2,-1.7
2023-03-28,USC00063210,"GUILFORD, CT US",41.28592,-72.67143,6.1,14.4,-1.7
2023-03-29,USC00063210,"GUILFORD, CT US",41.28592,-72.67143,6.1,10.0,0.6
2023-03-30,USC00063210,"GUILFORD, CT US",41.28592,-72.67143,6.1,10.6,-1.7
2023-03-31,USC00063210,"GUILFORD, CT US",41.28592,-72.67143,6.1,7.2,-5.0
2023-04-01,USC00063210,"GUILFORD, CT US",41.28592,-72.67143,6.1,9.4,-3.9
